Permalink,Chatbericht plaatsen,Type,Gepubliceerd:,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play
,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,
https://www.facebook.com/NEXTgardenNL/videos/639561170051351/,"Het onderzoek naar Hoge Temperatuur Opslag op NEXTgarden in Gemeente Lingewaard is in volle gang. 

Het technische verhaal achter deze boring, zie je in de video. Kijk snel mee! 

De boring wordt uitgevoerd door De Ruiter Grondwatertechniek.",Video,11/02/2020 06:56:42 AM,37,37,0,38,38,0,5,2,19,19,0,0,2,,2,,
https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2785167598421757/?type=3,"In Hét Ondernemersbelang staat een interview over de energiedoelen van gemeente Lingewaard met wethouder duurzaamheid Aart Slob. 

Lees hier het hele interview: http://ow.ly/DoXR50C71ED",Photo,10/30/2020 09:01:42 AM,239,239,0,260,260,0,13,7,0,0,0,0,5,2,5,2,
https://www.facebook.com/NEXTgardenNL/videos/652614642289939/,"Gemeente Lingewaard en Provincie Gelderland werken samen met onder meer het Arnhemse bureau IF Technology en TNO om hoge warmte-opslag te onderzoeken.

De boring wordt uitgevoerd door De Ruiter Grondwatertechniek 

Kijk mee met de video voor meer informatie! 

#EURegionsWeek #ThinkEastNL #SmartFoodProduction #ClimateNeutralandCircularFoodProduction",Video,10/30/2020 06:58:12 AM,134,134,0,153,153,0,19,13,62,66,0,0,13,,13,,1
https://www.facebook.com/NEXTgardenNL/videos/795289387872107/,"Het einde van het hortensia seizoen nadert... Koop nu de snijhortensia bij de teler of bloemist! 🌸

Bekijk de kleurrijke video van Freesia en Hortensia Zeestraten.",Video,10/29/2020 09:04:25 AM,37,37,0,41,41,0,3,2,19,20,0,0,2,,2,,
https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2782994208639096/?type=3,"Het is vandaag alweer een week geleden dat de European Week of Regions and Cities plaatsvond. 

NEXTgarden heeft hier ook mogen spreken. Verschillende regio's in heel Europa zijn belangrijke drijfveren voor de voedseltransitie en geven vorm aan de toekomst van sterke en gezonde Europese voedselketens en Europese burgers.

Lees er hier alles over!  http://ow.ly/V3W750C2oZq 
#EURegionsweek #ThinkEastNetherlands #SmartFoodProduction",Photo,10/28/2020 02:00:40 AM,180,180,0,197,197,0,3,1,0,0,0,0,,1,,1,
https://www.facebook.com/NEXTgardenNL/posts/2781423508796166,"Wederom een mooie stap in het behalen van onze ambities in de energietransitie.

#ProgrammaAardgasvrijeWijken
Provincie Gelderland
Gemeente Lingewaard
#aardgasvrij #duurzaam #warmtenetwerk 

Meer informatie is ook te vinden op onze website: https://lnkd.in/e94iRwb",Photo,10/26/2020 07:48:16 AM,44,44,0,51,51,0,4,0,0,0,0,0,,,,,
https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2778369569101560/?type=3,"De nieuwsbrief van Regio Arnhem Nijmegen is online! De regio waar het goed wonen, goed ondernemen, goed recreëren en vooral goed leven is.

Updates over EWRC, Polis 2020, Covid-19 maatregelen en meer...http://ow.ly/wxnp50C0wre",Photo,10/23/2020 03:00:17 AM,182,182,0,203,203,0,4,3,0,0,0,0,1,1,1,1,
https://www.facebook.com/NEXTgardenNL/videos/776176366274873/,"NEXTgarden zoekt naar een duurzame energiemix, met als doel: 100% energieneutrale teelt. 

Dat doel wordt bereikt door aan de ene kant energie te besparen en aan de andere kant meer duurzame energie op te wekken.

Je hoort er alles over in de video!
Meer info? http://ow.ly/1ts550BZEtC",Video,10/22/2020 06:11:49 AM,46,46,0,52,52,0,5,0,17,17,0,0,,,,,
https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2774590369479480/?type=3,"Speuren naar ideale zandlaag, diep in Betuwse aardbodem, om Zilverkamp op te warmen.

De boorinstallatie heeft een week nodig om bijna een halve kilometer de Lingewaardse grond in te komen. Vermoedelijk is het gebied in en om NEXTgarden het meest geschikt voor warmte-opslag op die diepte.

Lees hier alles over de proefboring: http://ow.ly/A9j250BVVR4

Foto: Paul Rapp",Photo,10/19/2020 02:00:16 AM,195,195,0,211,211,0,4,3,0,0,0,0,,1,,1,
