Datum,Provincienaam,Aantal 
27/02/2020,Noord-Holland,0
27/02/2020,Zuid-Holland,0
28/02/2020,Zuid-Holland,0
27/02/2020,Drenthe ,0
28/02/2020,Drenthe ,0
29/02/2020,Drenthe ,0
27/02/2020,Utrecht ,0
28/02/2020,Utrecht ,0
29/02/2020,Utrecht ,0
01/03/2020,Utrecht ,0
02/03/2020,Utrecht ,0
27/02/2020,Gelderland,0
28/02/2020,Gelderland,0
29/02/2020,Gelderland,0
01/03/2020,Gelderland,0
02/03/2020,Gelderland,0
03/03/2020,Gelderland,0
27/02/2020,Flevoland,0
28/02/2020,Flevoland,0
29/02/2020,Flevoland,0
01/03/2020,Flevoland,0
02/03/2020,Flevoland,0
03/03/2020,Flevoland,0
04/03/2020,Flevoland,0
27/02/2020,Limburg,0
28/02/2020,Limburg,0
29/02/2020,Limburg,0
01/03/2020,Limburg,0
02/03/2020,Limburg,0
03/03/2020,Limburg,0
04/03/2020,Limburg,0
27/02/2020,Overijssel,0
28/02/2020,Overijssel,0
29/02/2020,Overijssel,0
01/03/2020,Overijssel,0
02/03/2020,Overijssel,0
03/03/2020,Overijssel,0
04/03/2020,Overijssel,0
27/02/2020,Zeeland ,0
28/02/2020,Zeeland ,0
29/02/2020,Zeeland ,0
01/03/2020,Zeeland ,0
02/03/2020,Zeeland ,0
03/03/2020,Zeeland ,0
04/03/2020,Zeeland ,0
05/03/2020,Zeeland ,0
06/03/2020,Zeeland ,0
27/02/2020,Friesland ,0
28/02/2020,Friesland ,0
29/02/2020,Friesland ,0
01/03/2020,Friesland ,0
02/03/2020,Friesland ,0
03/03/2020,Friesland ,0
04/03/2020,Friesland ,0
05/03/2020,Friesland ,0
06/03/2020,Friesland ,0
07/03/2020,Friesland ,0
08/03/2020,Friesland ,0
09/03/2020,Friesland ,0
28/02/2020,Groningen,0
29/02/2020,Groningen,0
01/03/2020,Groningen,0
02/03/2020,Groningen,0
03/03/2020,Groningen,0
04/03/2020,Groningen,0
05/03/2020,Groningen,0
06/03/2020,Groningen,0
07/03/2020,Groningen,0
08/03/2020,Groningen,0
09/03/2020,Groningen,0
10/03/2020,Groningen,0
11/03/2020,Groningen,0
12/03/2020,Groningen,0
13/03/2020,Groningen,0
14/03/2020,Groningen,0
15/03/2020,Groningen,0
16/03/2020,Groningen,0
17/03/2020,Groningen,0
18/03/2020,Groningen,0
19/03/2020,Groningen,0
