statnaam,inwoneraantal,
,0,
Appingedam,11650,
Delfzijl,24649,
Groningen,232982,
Loppersum,9513,
Almere,212408,
Stadskanaal,31691,
Veendam,27378,
Zeewolde,22545,
Achtkarspelen,27833,
Ameland,3718,
Harlingen,15719,
Heerenveen,50469,
Leeuwarden,124024,
Ooststellingwerf,25489,
Opsterland,29698,
Schiermonnikoog,946,
Smallingerland,56173,
Terschelling,4856,
Vlieland,1158,
Weststellingwerf,25930,
Assen,68743,
Coevorden,35293,
Emmen,106977,
Hoogeveen,55645,
Meppel,33947,
Almelo,73132,
Borne,23341,
Dalfsen,28637,
Deventer,100893,
Enschede,159603,
Haaksbergen,24274,
Hardenberg,60971,
Hellendoorn,35915,
Hengelo,81198,
Kampen,54347,
Losser,22685,
Noordoostpolder,47443,
Oldenzaal,31851,
Ommen,18011,
Raalte,37701,
Staphorst,17147,
Tubbergen,21264,
Urk,21043,
Wierden,24441,
Zwolle,129062,
Aalten,27089,
Apeldoorn,163853,
Arnhem,161594,
Barneveld,59308,
Beuningen,25897,
Brummen,20772,
Buren,26762,
Culemborg,29015,
Doesburg,11086,
Doetinchem,58064,
Druten,18954,
Duiven,25109,
Ede,117041,
Elburg,23176,
Epe,33211,
Ermelo,26987,
Harderwijk,48665,
Hattem,12209,
Heerde,18612,
Heumen,16446,
Lochem,33713,
Maasdriel,25130,
Nijkerk,43202,
Nijmegen,177630,
Oldebroek,23631,
Putten,24120,
Renkum,31413,
Rheden,43672,
Rozendaal,1699,
Scherpenzeel,9874,
Tiel,42092,
Voorst,24594,
Wageningen,39844,
Westervoort,25792,
Winterswijk,28820,
Wijchen,41094,
Zaltbommel,28926,
Zevenaar,43804,
Zutphen,48010,
Nunspeet,27825,
Dronten,41655,
Amersfoort,157312,
Baarn,24885,
De Bilt,51608,
Bunnik,15198,
Bunschoten,21862,
Eemnes,9254,
Houten,50234,
Leusden,30417,
Lopik,14464,
Montfoort,13906,
Renswoude,5466,
Rhenen,20120,
Soest,46656,
Utrecht,358454,
Veenendaal,66618,
Woudenberg,13382,
Wijk bij Duurstede,23895,
IJsselstein,34059,
Zeist,64959,
Nieuwegein,63505,
Aalsmeer,31837,
Alkmaar,109589,
Amstelveen,91767,
Amsterdam,874272,
Beemster,9992,
Bergen (NH.),29869,
Beverwijk,41610,
Blaricum,11556,
Bloemendaal,23544,
Castricum,36005,
Diemen,31003,
Edam-Volendam,36211,
Enkhuizen,18644,
Haarlem,163109,
Haarlemmermeer,156355,
Heemskerk,39167,
Heemstede,27259,
Heerhugowaard,57752,
Heiloo,23956,
Den Helder,56359,
Hilversum,91038,
Hoorn,73294,
Huizen,41182,
Landsmeer,11511,
Langedijk,28123,
Laren,11320,
Medemblik,45114,
Oostzaan,9708,
Opmeer,11839,
Ouder-Amstel,14081,
Purmerend,81462,
Schagen,46471,
Texel,13571,
Uitgeest,13637,
Uithoorn,29537,
Velsen,68732,
Weesp,19856,
Zandvoort,17136,
Zaanstad,156856,
Alblasserdam,20158,
Alphen aan den Rijn,119952,
Barendrecht,48691,
Drechterland,19732,
Brielle,17273,
Capelle aan den IJssel,67217,
Delft,103536,
Dordrecht,119413,
Gorinchem,37055,
Gouda,73485,
's-Gravenhage,545865,
Hardinxveld-Giessendam,18294,
Hellevoetsluis,40182,
Hendrik-Ido-Ambacht,31249,
Stede Broec,21685,
Hillegom,22208,
Katwijk,65816,
Krimpen aan den IJssel,29532,
Leiden,125066,
Leiderdorp,27072,
Lisse,23012,
Maassluis,33258,
Nieuwkoop,28860,
Noordwijk,43586,
Oegstgeest,24852,
Oudewater,10226,
Papendrecht,32151,
Ridderkerk,46341,
Rotterdam,652361,
Rijswijk,54619,
Schiedam,78842,
Sliedrecht,25232,
Albrandswaard,25696,
Westvoorne,14730,
Vlaardingen,73539,
Voorschoten,25612,
Waddinxveen,29365,
Wassenaar,26273,
Woerden,52359,
Zoetermeer,125266,
Zoeterwoude,8647,
Zwijndrecht,44695,
Borsele,22732,
Goes,38174,
West Maas en Waal,63376,
Hulst,27601,
Kapelle,12698,
Middelburg,48802,
Reimerswaal,22714,
Terneuzen,54384,
Tholen,25784,
Veere,21907,
Vlissingen,44339,
De Ronde Venen,24317,
Tytsjerksteradiel,32069,
Asten,16734,
Baarle-Nassau,6867,
Bergen op Zoom,67589,
Best,29997,
Boekel,10783,
Boxmeer,29384,
Boxtel,30807,
Breda,184187,
Deurne,32455,
Pekela,12196,
Dongen,26274,
Eersel,19328,
Eindhoven,234849,
Etten-Leur,43877,
Geertruidenberg,21568,
Gilze en Rijen,26510,
Goirle,23906,
Grave,12457,
Haaren,14364,
Helmond,92312,
's-Hertogenbosch,155381,
Heusden,44709,
Hilvarenbeek,15515,
Loon op Zand,23432,
Mill en Sint Hubert,10945,
"Nuenen, Gerwen en Nederwetten",23372,
Oirschot,18733,
Oisterwijk,26283,
Oosterhout,56052,
Oss,91998,
Rucphen,22900,
Sint-Michielsgestel,29266,
Someren,19362,
Son en Breugel,17329,
Steenbergen,24464,
Waterland,17420,
Tilburg,220144,
Uden,42132,
Valkenswaard,31206,
Veldhoven,45528,
Vught,26577,
Waalre,17452,
Waalwijk,48626,
Woensdrecht,21920,
Zundert,21836,
Wormerland,16266,
Landgraaf,37411,
Beek,15859,
Beesel,13468,
Bergen (L.),13082,
Brunssum,27788,
Gennep,16911,
Heerlen,87024,
Kerkrade,45684,
Maastricht,121511,
Meerssen,18837,
Mook en Middelaar,7841,
Nederweert,17049,
Roermond,58316,
Simpelveld,10539,
Stein,24979,
Vaals,10096,
Venlo,101830,
Venray,43624,
Voerendaal,12479,
Weert,50185,
Valkenburg aan de Geul,16334,
Lelystad,78920,
Horst aan de Maas,42461,
Oude IJsselstreek,39392,
Teylingen,37468,
Utrechtse Heuvelrug,49752,
Oost Gelre,29640,
Koggenland,22763,
Lansingerland,62530,
Leudal,35865,
Maasgouw,23943,
Gemert-Bakel,30733,
Halderberge,30272,
Heeze-Leende,16137,
Laarbeek,22559,
Reusel-De Mierden,13096,
Roerdalen,20567,
Roosendaal,77297,
Schouwen-Duiveland,33866,
Aa en Hunze,25422,
Borger-Odoorn,25549,
Cuijk,25150,
Landerd,15735,
De Wolden,43113,
Noord-Beveland,7387,
Wijdemeren,24354,
Noordenveld,31243,
Twenterand,33749,
Westerveld,14974,
Sint Anthonis,11688,
Lingewaard,46645,
Cranendonck,21175,
Steenwijkerland,44157,
Moerdijk,37098,
Echt-Susteren,31594,
Sluis,23214,
Drimmelen,27232,
Bernheze,31291,
Alphen-Chaam,10222,
Bergeijk,18678,
Bladel,20408,
Gulpen-Wittem,14164,
Tynaarlo,33795,
Midden-Drenthe,33216,
Overbetuwe,47965,
Hof van Twente,34996,
Neder-Betuwe,24430,
Rijssen-Holten,38186,
Geldrop-Mierlo,39772,
Olst-Wijhe,18253,
Dinkelland,26479,
Westland,110357,
Midden-Delfland,19302,
Berkelland,43760,
Bronckhorst,36031,
Sittard-Geleen,92330,
Kaag en Braassem,27317,
Dantumadiel,18912,
Zuidplas,44043,
Peel en Maas,43627,
Oldambt,38214,
Zwartewaterland,22716,
Súdwest-Fryslân,89881,
Bodegraven-Reeuwijk,34899,
Eijsden-Margraten,25760,
Stichtse Vecht,65029,
