,Date,Country,Confirmed,Recovered,Deaths
118,22/01/2020,Netherlands,0,0,0
296,23/01/2020,Netherlands,0,0,0
474,24/01/2020,Netherlands,0,0,0
652,25/01/2020,Netherlands,0,0,0
830,26/01/2020,Netherlands,0,0,0
1008,27/01/2020,Netherlands,0,0,0
1186,28/01/2020,Netherlands,0,0,0
1364,29/01/2020,Netherlands,0,0,0
1542,30/01/2020,Netherlands,0,0,0
1720,31/01/2020,Netherlands,0,0,0
1898,01/02/2020,Netherlands,0,0,0
2076,02/02/2020,Netherlands,0,0,0
2254,03/02/2020,Netherlands,0,0,0
2432,04/02/2020,Netherlands,0,0,0
2610,05/02/2020,Netherlands,0,0,0
2788,06/02/2020,Netherlands,0,0,0
2966,07/02/2020,Netherlands,0,0,0
