Bericht-ID,Permalink,"Chatbericht plaatsen",Type,Landen,Talen,Gepubliceerd:,Doelgroepopties,"Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
2052696501668874_2801471223458061,https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2801471223458061/?type=3,"Op 23 november van 20.00 - 21.30 uur, zal er een webinar plaatsvinden vanuit het Glaspact Arnhem-Nijmegen. Het thema is: 'Energietranisite in de tuinbouw staat niet stil'.

De sprekers zullen zijn:
Sjaak van der Tak - Glastuinbouw Nederland
Aart Slob - wethouder Gemeente Lingewaard
Frank van Bergen - TNO
Berno Schouten - Lingezegen Energy BV

Schrijf je in ➡️ http://ow.ly/eNuu50CmzH3",Photo,,,"11/17/2020 07:00:47 AM"," ",33,33,0,38,38,0,2,1,1,0,0,37,32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,1,,,1,,,,1,,,
2052696501668874_2794218927516624,https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2794218927516624/?type=3,"MKB-Nederland doet iedere twee jaar onderzoek naar het lokale ondernemersklimaat. Ook Gemeente Lingewaard doet hier aan mee. 

Daarom nodigen wij u als ondernemer uit om deel te nemen aan dit onderzoek. Hiervoor vragen wij u om een digitale vragenlijst in te vullen. Dit duurt ongeveer vijf minuten.
 
Meer info: http://ow.ly/F8ic50Cf8Ms",Photo,,,"11/09/2020 06:00:41 AM"," ",156,156,0,172,172,0,1,0,0,0,0,35,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,,,,,,,,,
2052696501668874_639561170051351,https://www.facebook.com/NEXTgardenNL/videos/639561170051351/,"Het onderzoek naar Hoge Temperatuur Opslag op NEXTgarden in Gemeente Lingewaard is in volle gang. 

Het technische verhaal achter deze boring, zie je in de video. Kijk snel mee! 

De boring wordt uitgevoerd door De Ruiter Grondwatertechniek.",Video,,,"11/02/2020 06:56:42 AM"," ",41,41,0,46,46,0,5,2,2,0,0,43,38,0,0,4,0,0,0,0,21,21,0,0,7803,176128,3,,,3,,,,2,,,,2,,
2052696501668874_2785167598421757,https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2785167598421757/?type=3,"In Hét Ondernemersbelang staat een interview over de energiedoelen van gemeente Lingewaard met wethouder duurzaamheid Aart Slob. 

Lees hier het hele interview: http://ow.ly/DoXR50C71ED",Photo,,,"10/30/2020 09:01:42 AM"," ",234,234,0,263,263,0,13,7,10,0,0,53,45,0,0,4,0,0,0,0,0,0,0,0,0,0,7,1,1,7,1,1,2,5,3,,2,5,3,
2052696501668874_652614642289939,https://www.facebook.com/NEXTgardenNL/videos/652614642289939/,"Gemeente Lingewaard en Provincie Gelderland werken samen met onder meer het Arnhemse bureau IF Technology en TNO om hoge warmte-opslag te onderzoeken.

De boring wordt uitgevoerd door De Ruiter Grondwatertechniek 

Kijk mee met de video voor meer informatie! 

#EURegionsWeek #ThinkEastNL #SmartFoodProduction #ClimateNeutralandCircularFoodProduction",Video,,,"10/30/2020 06:58:12 AM"," ",136,136,0,157,157,0,19,13,14,0,0,43,36,0,0,7,4,4,0,0,63,67,0,0,22586,214144,7,1,,7,1,,,13,,1,,13,,1
2052696501668874_795289387872107,https://www.facebook.com/NEXTgardenNL/videos/795289387872107/,"Het einde van het hortensia seizoen nadert... Koop nu de snijhortensia bij de teler of bloemist! 🌸

Bekijk de kleurrijke video van Freesia en Hortensia Zeestraten.",Video,,,"10/29/2020 09:04:25 AM"," ",37,37,0,41,41,0,3,2,2,0,0,38,34,0,0,2,4,4,0,0,19,20,0,0,12876,60053,1,,,1,,,,2,,,,2,,
2052696501668874_2782994208639096,https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2782994208639096/?type=3,"Het is vandaag alweer een week geleden dat de European Week of Regions and Cities plaatsvond. 

NEXTgarden heeft hier ook mogen spreken. Verschillende regio's in heel Europa zijn belangrijke drijfveren voor de voedseltransitie en geven vorm aan de toekomst van sterke en gezonde Europese voedselketens en Europese burgers.

Lees er hier alles over!  http://ow.ly/V3W750C2oZq 
#EURegionsweek #ThinkEastNetherlands #SmartFoodProduction",Photo,,,"10/28/2020 02:00:40 AM"," ",178,178,0,198,198,0,3,1,1,0,0,43,37,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,,2,1,,1,,,,1,,,
2052696501668874_2781423508796166,https://www.facebook.com/NEXTgardenNL/posts/2781423508796166,"Wederom een mooie stap in het behalen van onze ambities in de energietransitie.

#ProgrammaAardgasvrijeWijken
Provincie Gelderland
Gemeente Lingewaard
#aardgasvrij #duurzaam #warmtenetwerk 

Meer informatie is ook te vinden op onze website: https://lnkd.in/e94iRwb",Photo,,,"10/26/2020 07:48:16 AM"," ",46,46,0,52,52,0,4,0,0,0,0,40,37,0,0,2,0,0,0,0,0,0,0,0,0,0,4,,,4,,,,,,,,,,
2052696501668874_2778369569101560,https://www.facebook.com/NEXTgardenNL/photos/a.2052738128331378/2778369569101560/?type=3,"De nieuwsbrief van Regio Arnhem Nijmegen is online! De regio waar het goed wonen, goed ondernemen, goed recreëren en vooral goed leven is.

Updates over EWRC, Polis 2020, Covid-19 maatregelen en meer...http://ow.ly/wxnp50C0wre",Photo,,,"10/23/2020 03:00:17 AM"," ",179,179,0,203,203,0,4,3,3,0,0,29,25,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,,1,1,1,,1,1,1,
