statnaam,aantal,Datum,inwoneraantal,
,0,27/02/2020,0,
Appingedam,0,27/02/2020,11650,
Delfzijl,0,27/02/2020,24649,
Groningen,0,27/02/2020,232982,
Loppersum,0,27/02/2020,9513,
Almere,0,27/02/2020,212408,
Stadskanaal,0,27/02/2020,31691,
Veendam,0,27/02/2020,27378,
Zeewolde,0,27/02/2020,22545,
Achtkarspelen,0,27/02/2020,27833,
Ameland,0,27/02/2020,3718,
Harlingen,0,27/02/2020,15719,
Heerenveen,0,27/02/2020,50469,
Leeuwarden,0,27/02/2020,124024,
Ooststellingwerf,0,27/02/2020,25489,
Opsterland,0,27/02/2020,29698,
Schiermonnikoog,0,27/02/2020,946,
Smallingerland,0,27/02/2020,56173,
Terschelling,0,27/02/2020,4856,
Vlieland,0,27/02/2020,1158,
Weststellingwerf,0,27/02/2020,25930,
Assen,0,27/02/2020,68743,
Coevorden,0,27/02/2020,35293,
Emmen,0,27/02/2020,106977,
Hoogeveen,0,27/02/2020,55645,
Meppel,0,27/02/2020,33947,
Almelo,0,27/02/2020,73132,
Borne,0,27/02/2020,23341,
Dalfsen,0,27/02/2020,28637,
Deventer,0,27/02/2020,100893,
Enschede,0,27/02/2020,159603,
Haaksbergen,0,27/02/2020,24274,
Hardenberg,0,27/02/2020,60971,
Hellendoorn,0,27/02/2020,35915,
Hengelo,0,27/02/2020,81198,
Kampen,0,27/02/2020,54347,
Losser,0,27/02/2020,22685,
Noordoostpolder,0,27/02/2020,47443,
Oldenzaal,0,27/02/2020,31851,
Ommen,0,27/02/2020,18011,
Raalte,0,27/02/2020,37701,
Staphorst,0,27/02/2020,17147,
Tubbergen,0,27/02/2020,21264,
Urk,0,27/02/2020,21043,
Wierden,0,27/02/2020,24441,
Zwolle,0,27/02/2020,129062,
Aalten,0,27/02/2020,27089,
Apeldoorn,0,27/02/2020,163853,
Arnhem,0,27/02/2020,161594,
Barneveld,0,27/02/2020,59308,
Beuningen,0,27/02/2020,25897,
Brummen,0,27/02/2020,20772,
Buren,0,27/02/2020,26762,
Culemborg,0,27/02/2020,29015,
Doesburg,0,27/02/2020,11086,
Doetinchem,0,27/02/2020,58064,
Druten,0,27/02/2020,18954,
Duiven,0,27/02/2020,25109,
Ede,0,27/02/2020,117041,
Elburg,0,27/02/2020,23176,
Epe,0,27/02/2020,33211,
Ermelo,0,27/02/2020,26987,
Harderwijk,0,27/02/2020,48665,
Hattem,0,27/02/2020,12209,
Heerde,0,27/02/2020,18612,
Heumen,0,27/02/2020,16446,
Lochem,0,27/02/2020,33713,
Maasdriel,0,27/02/2020,25130,
Nijkerk,0,27/02/2020,43202,
Nijmegen,0,27/02/2020,177630,
Oldebroek,0,27/02/2020,23631,
Putten,0,27/02/2020,24120,
Renkum,0,27/02/2020,31413,
Rheden,0,27/02/2020,43672,
Rozendaal,0,27/02/2020,1699,
Scherpenzeel,0,27/02/2020,9874,
Tiel,0,27/02/2020,42092,
Voorst,0,27/02/2020,24594,
Wageningen,0,27/02/2020,39844,
Westervoort,0,27/02/2020,25792,
Winterswijk,0,27/02/2020,28820,
Wijchen,0,27/02/2020,41094,
Zaltbommel,0,27/02/2020,28926,
Zevenaar,0,27/02/2020,43804,
Zutphen,0,27/02/2020,48010,
Nunspeet,0,27/02/2020,27825,
Dronten,0,27/02/2020,41655,
Amersfoort,0,27/02/2020,157312,
Baarn,0,27/02/2020,24885,
De Bilt,0,27/02/2020,51608,
Bunnik,0,27/02/2020,15198,
Bunschoten,0,27/02/2020,21862,
Eemnes,0,27/02/2020,9254,
Houten,0,27/02/2020,50234,
Leusden,0,27/02/2020,30417,
Lopik,0,27/02/2020,14464,
Montfoort,0,27/02/2020,13906,
Renswoude,0,27/02/2020,5466,
Rhenen,0,27/02/2020,20120,
Soest,0,27/02/2020,46656,
Utrecht,0,27/02/2020,358454,
Veenendaal,0,27/02/2020,66618,
Woudenberg,0,27/02/2020,13382,
Wijk bij Duurstede,0,27/02/2020,23895,
IJsselstein,0,27/02/2020,34059,
Zeist,0,27/02/2020,64959,
Nieuwegein,0,27/02/2020,63505,
Aalsmeer,0,27/02/2020,31837,
Alkmaar,0,27/02/2020,109589,
Amstelveen,0,27/02/2020,91767,
Amsterdam,0,27/02/2020,874272,
Beemster,0,27/02/2020,9992,
Bergen (NH.),0,27/02/2020,29869,
Beverwijk,0,27/02/2020,41610,
Blaricum,0,27/02/2020,11556,
Bloemendaal,0,27/02/2020,23544,
Castricum,0,27/02/2020,36005,
Diemen,0,27/02/2020,31003,
Edam-Volendam,0,27/02/2020,36211,
Enkhuizen,0,27/02/2020,18644,
Haarlem,0,27/02/2020,163109,
Haarlemmermeer,0,27/02/2020,156355,
Heemskerk,0,27/02/2020,39167,
Heemstede,0,27/02/2020,27259,
Heerhugowaard,0,27/02/2020,57752,
Heiloo,0,27/02/2020,23956,
Den Helder,0,27/02/2020,56359,
Hilversum,0,27/02/2020,91038,
Hoorn,0,27/02/2020,73294,
Huizen,0,27/02/2020,41182,
Landsmeer,0,27/02/2020,11511,
Langedijk,0,27/02/2020,28123,
Laren,0,27/02/2020,11320,
Medemblik,0,27/02/2020,45114,
Oostzaan,0,27/02/2020,9708,
Opmeer,0,27/02/2020,11839,
Ouder-Amstel,0,27/02/2020,14081,
Purmerend,0,27/02/2020,81462,
Schagen,0,27/02/2020,46471,
Texel,0,27/02/2020,13571,
Uitgeest,0,27/02/2020,13637,
Uithoorn,0,27/02/2020,29537,
Velsen,0,27/02/2020,68732,
Weesp,0,27/02/2020,19856,
Zandvoort,0,27/02/2020,17136,
Zaanstad,0,27/02/2020,156856,
Alblasserdam,0,27/02/2020,20158,
Alphen aan den Rijn,0,27/02/2020,119952,
Barendrecht,0,27/02/2020,48691,
Drechterland,0,27/02/2020,19732,
Brielle,0,27/02/2020,17273,
Capelle aan den IJssel,0,27/02/2020,67217,
Delft,0,27/02/2020,103536,
Dordrecht,0,27/02/2020,119413,
Gorinchem,0,27/02/2020,37055,
Gouda,0,27/02/2020,73485,
's-Gravenhage,0,27/02/2020,545865,
Hardinxveld-Giessendam,0,27/02/2020,18294,
Hellevoetsluis,0,27/02/2020,40182,
Hendrik-Ido-Ambacht,0,27/02/2020,31249,
Stede Broec,0,27/02/2020,21685,
Hillegom,0,27/02/2020,22208,
Katwijk,0,27/02/2020,65816,
Krimpen aan den IJssel,0,27/02/2020,29532,
Leiden,0,27/02/2020,125066,
Leiderdorp,0,27/02/2020,27072,
Lisse,0,27/02/2020,23012,
Maassluis,0,27/02/2020,33258,
Nieuwkoop,0,27/02/2020,28860,
Noordwijk,0,27/02/2020,43586,
Oegstgeest,0,27/02/2020,24852,
Oudewater,0,27/02/2020,10226,
Papendrecht,0,27/02/2020,32151,
Ridderkerk,0,27/02/2020,46341,
Rotterdam,0,27/02/2020,652361,
Rijswijk,0,27/02/2020,54619,
Schiedam,0,27/02/2020,78842,
Sliedrecht,0,27/02/2020,25232,
Albrandswaard,0,27/02/2020,25696,
Westvoorne,0,27/02/2020,14730,
Vlaardingen,0,27/02/2020,73539,
Voorschoten,0,27/02/2020,25612,
Waddinxveen,0,27/02/2020,29365,
Wassenaar,0,27/02/2020,26273,
Woerden,0,27/02/2020,52359,
Zoetermeer,0,27/02/2020,125266,
Zoeterwoude,0,27/02/2020,8647,
Zwijndrecht,0,27/02/2020,44695,
Borsele,0,27/02/2020,22732,
Goes,0,27/02/2020,38174,
West Maas en Waal,0,27/02/2020,63376,
Hulst,0,27/02/2020,27601,
Kapelle,0,27/02/2020,12698,
Middelburg,0,27/02/2020,48802,
