Statistieken over interacties voor individuele updates Datum aangemaakt laat zien wanneer de update werd gemaakt. Alle datums en tijden worden weergegeven in UTC.,,,,,,,,,,,,,,,,,
Titel van update,Link naar update,Soort update,Naam van de campagne,Geplaatst door,Aangemaakt,Begindatum van campagne,Einddatum van campagne,Doelgroep,Weergaven,Videoweergaven,Klikken,Doorklikfrequentie (CTR),Interessant,Commentaren,Gedeeld,Gevolgd,Interactiefrequentie
"In Hét Ondernemersbelang staat een interview over de energiedoelen van Gemeente Lingewaard met wethouder duurzaamheid Aart Slob. 

Lees hier het hele interview: https://lnkd.in/dxcDhc3 
",https://www.linkedin.com/feed/update/urn:li:activity:6727978157988700161,Spontaan ,,Saskia van Zanen,10/30/2020,,,Alle volgers,365,,53,0.145205483,13,0,0,,0.180821911
"Gemeente Lingewaard en Provincie Gelderland werken samen met onder meer het Arnhemse bureau IF Technology en TNO om hoge warmte-opslag te onderzoeken.

De boring wordt uitgevoerd door De Ruiter Grondwatertechniek

Kijk mee met de video voor meer informatie! 

#EURegionsWeek #ThinkEastNL #SmartFoodProduction #ClimateNeutralandCircularFoodProduction Think East Netherlands",https://www.linkedin.com/feed/update/urn:li:activity:6727943336121905152,Spontaan ,,Saskia van Zanen,10/30/2020,,,Alle volgers,244,589,15,0.061475411,22,1,5,,0.176229507
"Het einde van het hortensia seizoen nadert... Koop nu de snijhortensia bij de teler of bloemist! 🌸

Bekijk de kleurrijke video van Kwekerij Zeestraten - Freesia en Hortensia.",https://www.linkedin.com/feed/update/urn:li:activity:6727611553027256321,Spontaan ,,Saskia van Zanen,10/29/2020,,,Alle volgers,161,82,0,0,6,0,1,,0.043478262
"Het is vandaag alweer een week geleden dat de European Week of Regions and Cities plaatsvond. 

NEXTgarden heeft hier ook mogen spreken. Verschillende regio's in heel Europa zijn belangrijke drijfveren voor de voedseltransitie en geven vorm aan de toekomst van sterke en gezonde Europese voedselketens en Europese burgers.

Lees er hier alles over!  http://ow.ly/V3W750C2oZq 
#EURegionsweek #ThinkEastNetherlands #SmartFoodProduction",https://www.linkedin.com/feed/update/urn:li:activity:6727142015034777600,Spontaan ,,Saskia van Zanen,10/28/2020,,,Alle volgers,215,,1,0.004651163,7,0,0,,0.037209302
"Wederom een mooie stap in het behalen van onze ambities in de energietransitie.

Programma Aardgasvrije Wijken
Provincie Gelderland
Gemeente Lingewaard
#aardgasvrij #duurzaam #warmtenetwerk 

Meer informatie is ook te vinden op onze website: https://lnkd.in/e94iRwb ",https://www.linkedin.com/feed/update/urn:li:activity:6726503422767484928,Spontaan ,,Saskia van Zanen,10/26/2020,,,Alle volgers,281,,11,0.039145909,6,0,0,,0.060498219
"De nieuwsbrief van Regio Arnhem Nijmegen is online! De regio waar het goed wonen, goed ondernemen, goed recreëren en vooral goed leven is.

Updates over EWRC, Polis 2020, Covid-19 maatregelen en meer...http://ow.ly/2E3q50C0wrf",https://www.linkedin.com/feed/update/urn:li:activity:6725345079868829696,Spontaan ,,Saskia van Zanen,10/23/2020,,,Alle volgers,116,,1,0.00862069,0,0,0,,0.00862069
"NEXTgarden zoekt naar een duurzame energiemix, met als doel: 100% energieneutrale teelt. 

Dat doel wordt bereikt door aan de ene kant energie te besparen en aan de andere kant meer duurzame energie op te wekken.

Je hoort er alles over in de video!
Meer info? https://lnkd.in/dv96XzC",https://www.linkedin.com/feed/update/urn:li:activity:6725037397429518336,Spontaan ,,Saskia van Zanen,10/22/2020,,,Alle volgers,128,66,1,0.0078125,4,0,1,,0.046875
"Speuren naar ideale zandlaag, diep in Betuwse aardbodem, om Zilverkamp op te warmen.

De boorinstallatie heeft een week nodig om bijna een halve kilometer de Lingewaardse grond in te komen. Vermoedelijk is het gebied in en om NEXTgarden het meest geschikt voor warmte-opslag op die diepte.

Lees hier alles over de proefboring: http://ow.ly/mHe350BVVR6

Foto: Paul Rapp",https://www.linkedin.com/feed/update/urn:li:activity:6723880425313312769,Spontaan ,,Saskia van Zanen,10/19/2020,,,Alle volgers,332,,11,0.033132531,11,0,0,,0.066265061
"Het is vandaag de laatste dag waarop je je kunt aanmelden voor de workshop Climate Neutral & Circular Food Production bij de EU Regions Week or European Week of Regions and Cities. NEXTgarden doet hier ook aan mee. 

Kijk op https://lnkd.in/ePECM3v voor meer informatie en meld je vandaag nog aan! 

#EURegionsWeek #ThinkEastNL #SmartFoodProduction #ClimateNeutralandCircularFoodProduction ",https://www.linkedin.com/feed/update/urn:li:activity:6722161423826399232,Spontaan ,,Saskia van Zanen,10/14/2020,,,Alle volgers,153,,4,0.026143791,2,1,0,,0.045751635
"Vandaag is de dag van de duurzaamheid ♻️🌍

NEXTgarden gaat voor een 100% klimaatneutrale teelt in 2030. Samen zijn wij al goed op weg, hoe we dat doen? Kijk snel deze animatie, in enkele minuten weet u bijna alles!

Wat doe jij om duurzamer te leven?",https://www.linkedin.com/feed/update/urn:li:activity:6720226434540953600,Spontaan ,,Saskia van Zanen,10/09/2020,,,Alle volgers,200,77,7,0.035,8,0,2,,0.085000001
"Van 14 tot en met 21 oktober vindt een unieke activiteit plaats in NEXTgarden. Een proefboring van bijna 500 meter diep naar de mogelijkheden van warmteopslag. Het kunnen opslaan van warmte speelt in de energie transitie een cruciale rol.

TNO en IF Technology begeleiden deze boring, in opdracht van Gemeente Lingewaard en met ondersteuning van Provincie Gelderland. Aannemer De Ruiter Grondwatertechniek voert deze boring uit. 

Lees hier meer informatie: http://ow.ly/F94X50BLMye",https://www.linkedin.com/feed/update/urn:li:activity:6719539277052579841,Spontaan ,,Saskia van Zanen,10/07/2020,,,Alle volgers,1510,,110,0.072847679,46,1,1,,0.10463576
"Lokaal voedsel produceren en consumeren heeft veel voordelen. Het draagt bij aan een betere biodiversiteit, een eerlijkere prijs en meer transparantie in de keten. Bovenal is het een duurzaam proces, zowel op het gebied van transportuitstoot als in de productiewijze 🌱

📸 De teelt van kurkuma op de NEXTgarden Ingredient Farm. Lees er hier meer over: http://ow.ly/pPAP50BKzhq",https://www.linkedin.com/feed/update/urn:li:activity:6719184478205431808,Spontaan ,,Saskia van Zanen,10/06/2020,,,Alle volgers,248,,9,0.036290321,8,0,1,,0.072580643
"NEXTgarden houdt zich onder andere bezig met het opwekken van duurzame energie. 

Sinds 2018 heeft NEXTgarden een drijvend zonnepark op een gietwaterbassin. Deze zonnepanelen voorzien ruim 600 huishoudens van energie. 

In 2019 is Zonnepark Lingewal aangelegd in NEXTgarden. Het zonnepark omvat bijna 40.000 panelen.

Lees hier meer over de duurzame energiemix van NEXTgarden: 
http://ow.ly/UGyw50BJQN5",https://www.linkedin.com/feed/update/urn:li:activity:6718912727919689728,Spontaan ,,Saskia van Zanen,10/05/2020,,,Alle volgers,231,,5,0.021645023,5,0,2,,0.051948052
"NEXTgarden werkt aan een energieneutraal tuinbouwgebied. 
Wij zetten in op 4 domeinen: 
✔️ Energiebesparing
✔️ Opwekking van duurzame energie
✔️ Opslag van energie 
✔️ Energie infrastructuur 

Volgende week staat in het teken van duurzaamheid ✅
Lees er alvast alles over op onze website: http://ow.ly/azJa50BHv5F",https://www.linkedin.com/feed/update/urn:li:activity:6718082255589281792,Spontaan ,,Saskia van Zanen,10/03/2020,,,Alle volgers,215,,8,0.037209302,4,0,1,,0.060465116
"In glastuinbouwgebied NEXTgarden in Gemeente Lingewaard zijn veel mooie tuinbouwbedrijven gevestigd. Samen willen wij ervoor zorgen dat de tuinbouw binnen NEXTgarden is voorbereid op de toekomst.

Neem een kijkje in de nieuwe kas van Karma Plants 🌱
Meer informatie over NEXTgarden vind je op de website: http://ow.ly/L2dk50BFaXq",https://www.linkedin.com/feed/update/urn:li:activity:6717002672219676672,Spontaan ,,Saskia van Zanen,09/30/2020,,,Alle volgers,190,105,5,0.02631579,10,0,1,,0.08421053
"NEXTgarden is trots op de ondernemers die zich vestigen is het glastuinbouwgebied. 

Neem een kijkje in de kas van Hofstede Hovaria! 🍃

Wil je meer weten over tuinbouwgebied NEXTgarden? Alle informatie staat op onze website: www.nextgarden.nl",https://www.linkedin.com/feed/update/urn:li:activity:6707634500735668225,Spontaan ,,Saskia van Zanen,09/04/2020,,,Alle volgers,190,55,3,0.015789473,5,0,0,,0.042105265
"Volg jij ons instagram kanaal al? 

Voor een kleurrijke tijdlijn vol met weetjes over NEXTgarden kun je ons ook volgen op instagram: http://ow.ly/HV7H50B11Jz",https://www.linkedin.com/feed/update/urn:li:activity:6704025304408715264,Spontaan ,,Saskia van Zanen,08/25/2020,,,Alle volgers,186,,7,0.03763441,4,0,1,,0.064516127
