Statistieken over interacties voor individuele updates Datum aangemaakt laat zien wanneer de update werd gemaakt. Alle datums en tijden worden weergegeven in UTC.,,,,,,,,,,,,,,,,,
Titel van update,Link naar update,Soort update,Naam van de campagne,Geplaatst door,Aangemaakt,Begindatum van campagne,Einddatum van campagne,Doelgroep,Weergaven,Videoweergaven,Klikken,Doorklikfrequentie (CTR),Interessant,Commentaren,Gedeeld,Gevolgd,Interactiefrequentie
"In glastuinbouwgebied NEXTgarden in Gemeente Lingewaard zijn veel mooie tuinbouwbedrijven gevestigd. Samen willen wij ervoor zorgen dat de tuinbouw binnen NEXTgarden is voorbereid op de toekomst.

Neem een kijkje in de nieuwe kas van Karma Plants 🌱
Meer informatie over NEXTgarden vind je op de website: http://ow.ly/L2dk50BFaXq",https://www.linkedin.com/feed/update/urn:li:activity:6717002672219676672,Spontaan ,,Saskia van Zanen,09/30/2020,,,Alle volgers,188,105,5,0.026595745,10,0,1,,0.08510638
"NEXTgarden is trots op de ondernemers die zich vestigen is het glastuinbouwgebied. 

Neem een kijkje in de kas van Hofstede Hovaria! 🍃

Wil je meer weten over tuinbouwgebied NEXTgarden? Alle informatie staat op onze website: www.nextgarden.nl",https://www.linkedin.com/feed/update/urn:li:activity:6707634500735668225,Spontaan ,,Saskia van Zanen,09/04/2020,,,Alle volgers,190,55,3,0.015789473,5,0,0,,0.042105265
"Volg jij ons instagram kanaal al? 

Voor een kleurrijke tijdlijn vol met weetjes over NEXTgarden kun je ons ook volgen op instagram: http://ow.ly/HV7H50B11Jz",https://www.linkedin.com/feed/update/urn:li:activity:6704025304408715264,Spontaan ,,Saskia van Zanen,08/25/2020,,,Alle volgers,186,,7,0.03763441,4,0,1,,0.064516127
"Jaarlijks wordt in de regio Arnhem-Nijmegen een seminar georganiseerd over actuele zaken die in de tuinbouwsector spelen. Dit jaar  is er gekozen voor een webinar. 

Neem deel aan de interactieve webinar op 3 september 2020 van 15.00 uur tot 16.45 uur ➡️ http://ow.ly/ZSo450B5tTV

#webinar #tuinbouw #tuinbouwsector #NEXTgarden",https://www.linkedin.com/feed/update/urn:li:activity:6702575148182073344,Spontaan ,,Saskia van Zanen,08/21/2020,,,Alle volgers,266,,10,0.037593983,5,0,0,,0.056390978
"NEXTgarden ligt in de regio met de meeste 'groene' kennis ter wereld. Samen willen wij ervoor zorgen dat de tuinbouw binnen NEXTgarden is voorbereid op de toekomst. 

Lees  meer over onze projecten! 
http://ow.ly/QhTT50B2bYX

Op de foto: NEXTgarden Ingredient Farm met LED verlichting.",https://www.linkedin.com/feed/update/urn:li:activity:6701427671261294592,Spontaan ,,Saskia van Zanen,08/18/2020,,,Alle volgers,484,,13,0.026859503,13,0,0,,0.053719006
"Kijk je mee met een video van Pioenrozenkwekerij Braam - van de Pas? 

Op deze zonnige dag kijken we terug naar het pioenrozenseizoen 🌷🌹🌸

Veel kijkplezier!",https://www.linkedin.com/feed/update/urn:li:activity:6696720195324530688,Spontaan ,,Saskia van Zanen,08/05/2020,,,Alle volgers,256,97,4,0.015625,7,0,1,,0.046875
"Op deze zonnige dag nemen we een kijkje in de potplantenkwekerij Ewijk in tuinbouwgebied NEXTgarden. 

Kijk je mee?

Meer weten over NEXTgarden, bekijk onze website!  https://www.nextgarden.nl",https://www.linkedin.com/feed/update/urn:li:activity:6694225141427122176,Spontaan ,,Saskia van Zanen,07/29/2020,,,Alle volgers,240,170,3,0.0125,8,0,1,,0.050000001
"In glastuinbouwgebied NEXTgarden in Gemeente Lingewaard zijn veel mooie tuinbouwbedrijven gevestigd. 

Neem een kijkje in de kas van Zandvoort Flowers!",https://www.linkedin.com/feed/update/urn:li:activity:6690918463071891456,Spontaan ,,Saskia van Zanen,07/20/2020,,,Alle volgers,590,148,13,0.022033898,12,0,0,,0.042372882
"Vanmorgen heeft NPO Radio 1 een interview gehouden met Jan Taks over de teelt van #kurkuma en zwarte peper. 

In #tuinbouwgebied NEXTgarden in Gemeente Lingewaard wordt onderzoek gedaan naar de teelt van exotische #specerijen. 

Luister mee! 
Meer info? http://ow.ly/gpnj50AyQxZ",https://www.linkedin.com/feed/update/urn:li:activity:6689151716794884096,Spontaan ,,Saskia van Zanen,07/15/2020,,,Alle volgers,1054,1052,25,0.023719165,21,1,5,,0.049335863
"Exotische specerijen, gemaakt in de Betuwe: ‘Kurkuma telen blijkt eigenlijk helemaal niet zo lastig’

Lees het hele artikel uit De Gelderlander en bekijk de video! 
➡️ http://ow.ly/wO7k50AxEnh
Erik Janssen 
HAS Hogeschool 
Sander Govaert

#tuinbouw #ontwikkeling #specerijen #kurkuma",https://www.linkedin.com/feed/update/urn:li:activity:6688744107839373312,Spontaan ,,Saskia van Zanen,07/14/2020,,,Alle volgers,1000,454,21,0.021,23,1,5,,0.050000001
